Zip,State,City,County,TypeCode,RuralCode
20857,MD,Rockville,Montgomery,b,U
20859,MD,Potomac,Montgomery,e,S
20860,MD,Sandy Spring,Montgomery,,S
20861,MD,Ashton,Montgomery,,S
20862,MD,Brinklow,Montgomery,,S
20866,MD,Burtonsville,Montgomery,,S
20868,MD,Spencerville,Montgomery,,S
20871,MD,Clarksburg,Montgomery,,S
20872,MD,Damascus,Montgomery,,S
20874,MD,Germantown,Montgomery,,U
20875,MD,Germantown,Montgomery,e,U
20876,MD,Germantown,Montgomery,,S
20877,MD,Gaithersburg,Montgomery,,U
20878,MD,Gaithersburg,Montgomery,,U
20879,MD,Gaithersburg,Montgomery,,U
20880,MD,Washington Grove,Montgomery,e,S
20882,MD,Gaithersburg,Montgomery,,S
20883,MD,Gaithersburg,Montgomery,e,U
20884,MD,Gaithersburg,Montgomery,e,U
20885,MD,Gaithersburg,Montgomery,e,U
20886,MD,Montgomery Village,Montgomery,,U
20889,MD,Bethesda,Montgomery,b,U
20891,MD,Kensington,Montgomery,e,U
20892,MD,Bethesda,Montgomery,b,U
20894,MD,Bethesda,Montgomery,b,U
20895,MD,Kensington,Montgomery,,U
20896,MD,Garrett Park,Montgomery,e,U
20897,MD,Suburban MD Facility,Montgomery,b,S
20898,MD,Gaithersburg,Montgomery,e,S
20899,MD,Gaithersburg,Montgomery,b,S
20901,MD,Silver Spring,Montgomery,,U
20902,MD,Silver Spring,Montgomery,,U
20903,MD,Silver Spring,Montgomery,,U
20904,MD,Silver Spring,Montgomery,,U
20905,MD,Silver Spring,Montgomery,,S
20906,MD,Silver Spring,Montgomery,,S
20907,MD,Silver Spring,Montgomery,e,U
20908,MD,Silver Spring,Montgomery,e,S
20910,MD,Silver Spring,Montgomery,,U
20911,MD,Silver Spring,Montgomery,e,U
20912,MD,Takoma Park,Montgomery,,U
20913,MD,Takoma Park,Montgomery,e,U
20914,MD,Silver Spring,Montgomery,e,U
20915,MD,Silver Spring,Montgomery,e,U
20916,MD,Silver Spring,Montgomery,e,S
20918,MD,Silver Spring,Montgomery,e,U
20993,MD,Silver Spring,Montgomery,b,U
20997,MD,Silver Spring,Montgomery,b,U
21001,MD,Aberdeen,Harford,,S
21005,MD,Aberdeen Proving Ground,Harford,,S
21009,MD,Abingdon,Harford,,S
21010,MD,Gunpowder,Harford,,S
21012,MD,Arnold,Anne Arundel,,S
21013,MD,Baldwin,Baltimore,,S
21014,MD,Bel Air,Harford,,S
21015,MD,Bel Air,Harford,,S
21017,MD,Belcamp,Harford,,S
21018,MD,Benson,Harford,e,S
21020,MD,Boring,Baltimore,e,R
21022,MD,Brooklandville,Baltimore,e,S
21023,MD,Butler,Baltimore,e,R
21027,MD,Chase,Baltimore,e,S
21028,MD,Churchville,Harford,,R
21029,MD,Clarksville,Howard,,S
21030,MD,Cockeysville,Baltimore,,S
21031,MD,Hunt Valley,Baltimore,,S
21032,MD,Crownsville,Anne Arundel,,S
21034,MD,Darlington,Harford,,R
21035,MD,Davidsonville,Anne Arundel,,S
21036,MD,Dayton,Howard,,R
21037,MD,Edgewater,Anne Arundel,,S
21040,MD,Edgewood,Harford,,S
21041,MD,Ellicott City,Howard,e,S
21042,MD,Ellicott City,Howard,,S
21043,MD,Ellicott City,Howard,,S
21044,MD,Columbia,Howard,,U
21045,MD,Columbia,Howard,,U
21046,MD,Columbia,Howard,,S
21047,MD,Fallston,Harford,,S
21048,MD,Finksburg,Carroll,,S
21050,MD,Forest Hill,Harford,,S
21051,MD,Fork,Baltimore,,S
21052,MD,Fort Howard,Baltimore,e,U
21053,MD,Freeland,Baltimore,,R
21054,MD,Gambrills,Anne Arundel,,S
21056,MD,Gibson Island,Anne Arundel,e,S
21057,MD,Glen Arm,Baltimore,,S
21060,MD,Glen Burnie,Anne Arundel,,S
21061,MD,Glen Burnie,Anne Arundel,,U
21062,MD,Glen Burnie,Anne Arundel,b,U
21065,MD,Hunt Valley,Baltimore,b,S
21071,MD,Glyndon,Baltimore,e,S
21074,MD,Hampstead,Carroll,,R
21075,MD,Elkridge,Howard,,S
21076,MD,Hanover,Anne Arundel,,S
21077,MD,Harmans,Anne Arundel,,S
21078,MD,Havre de Grace,Harford,,S
21082,MD,Hydes,Baltimore,,S
21084,MD,Jarrettsville,Harford,,R
21085,MD,Joppa,Harford,,S
21087,MD,Kingsville,Baltimore,,S
21088,MD,Lineboro,Carroll,e,R
21090,MD,Linthicum Heights,Anne Arundel,,S
21092,MD,Long Green,Baltimore,e,S
21093,MD,Lutherville-Timonium,Baltimore,,S
21094,MD,Lutherville-Timonium,Baltimore,e,S
21102,MD,Manchester,Carroll,,R
21104,MD,Marriottsville,Howard,,S
21105,MD,Maryland Line,Baltimore,e,R
21106,MD,Mayo,Anne Arundel,e,S
21108,MD,Millersville,Anne Arundel,,S
21111,MD,Monkton,Baltimore,,S
21113,MD,Odenton,Anne Arundel,,S
21114,MD,Crofton,Anne Arundel,,S
21117,MD,Owings Mills,Baltimore,,S
21120,MD,Parkton,Baltimore,,R
